timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/12/01 19:59:11.555, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:59:16.557, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:59:21.559, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:59:26.560, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:59:31.562, 0, NVIDIA A100-SXM4-80GB, 14 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:59:36.564, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:59:41.566, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:59:46.567, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:59:51.569, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:59:56.571, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 20:00:01.572, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:00:06.573, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:00:11.575, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:00:16.577, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:00:21.578, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:00:26.580, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:00:31.582, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:00:36.583, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:00:41.585, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:00:46.587, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:00:51.589, 0, NVIDIA A100-SXM4-80GB, 18 %, 3 %, 81920 MiB, 4377 MiB
2025/12/01 20:00:56.590, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:01:01.592, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:01:06.593, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:01:11.595, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:01:16.597, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:01:21.598, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:01:26.600, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:01:31.601, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:01:36.603, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:01:41.604, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:01:46.606, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:01:51.608, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:01:56.609, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:02:01.611, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:02:06.612, 0, NVIDIA A100-SXM4-80GB, 12 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:02:11.615, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:02:16.616, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4377 MiB
