procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 147560 99685392  26836 875030528    0    0     0     0 57210 12475 14  0 85  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
131  0 147560 99684680  26836 875030528    0    0     0    12 57354 13803 17  0 82  0  0
 3  0 147560 99686672  26836 875030528    0    0     0     0 69826 9428 20  1 79  0  0
130  0 147560 99684128  26836 875030528    0    0     0    92 47489 14666 15  0 85  0  0
 3  0 147560 99684056  26836 875030528    0    0     0     0 55986 13614 18  0 81  0  0
 3  0 147560 99686224  26836 875030528    0    0     0     0 108583 12518 24  1 75  0  0
 5  0 147560 99678960  26836 875030528    0    0     0     2 53962 14130 16  0 83  0  0
130  0 147560 99671472  26836 875030528    0    0     0     0 51305 13048 17  0 83  0  0
 5  0 147560 99672576  26836 875030528    0    0     0   207 67362 10091 21  1 78  0  0
135  0 147560 99495744  26836 875030528    0    0     0    10 48335 16191 15  0 85  0  0
131  0 147560 99414840  26836 875030528    0    0     0   229 55591 17155 18  0 82  0  0
 5  0 147560 99251736  26836 875030528    0    0     0     3 71471 10960 21  1 78  0  0
 7  0 147560 99117728  26836 875030592    0    0     0     0 55853 16959 18  0 82  0  0
133  0 147560 98506520  26836 875030592    0    0     0  3422 77741 15270 24  1 75  0  0
135  0 147560 99026888  26836 875030592    0    0     0    18 51571 15166 15  0 85  0  0
 5  0 147560 98928320  26836 875030592    0    0     0     0 46918 17126 14  0 85  0  0
 4  0 147560 98759984  26836 875030592   20    0    20     2 52487 16723 15  0 84  0  0
 4  0 147560 98694448  26836 875030592    0    0     0     0 63957 11155 21  1 78  0  0
 3  0 147560 98694416  26836 875030592    0    0     0     0 44128 12473 14  0 86  0  0
131  0 147560 98693680  26836 875030592    0    0     0   268 47048 14931 14  0 85  0  0
130  0 147560 98060656  26836 875030592    0    0     0    11 51174 9818 16  1 83  0  0
 5  0 147560 98697040  26836 875030592    0    0     0     0 48026 11752 15  0 84  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
130  0 147560 98694336  26836 875030656    0    0     0     0 56029 14185 18  0 81  0  0
131  0 147560 98701976  26836 875030656    0    0     0     0 46126 13510 14  0 85  0  0
130  0 147560 98054240  26836 875030656    0    0     0   178 68264 12516 22  1 77  0  0
 3  0 147560 98701688  26836 875030656    0    0     0     0 53336 11993 17  0 82  0  0
 3  0 147560 98695504  26836 875030656    0    0     0   385 89779 15076 19  0 81  0  0
 3  0 147560 98695904  26836 875030656    0    0     0     3 67033 10212 22  1 77  0  0
 3  0 147560 98696000  26836 875030656    0    0     0  3050 59743 15299 19  0 81  0  0
130  0 147560 98695120  26836 875030656    0    0     0   113 53752 15220 17  0 83  0  0
 3  0 147560 98698720  26836 875030656    0    0     0     0 63800 10434 22  1 78  0  0
130  0 147560 98695840  26836 875030656    0    0     0     0 52904 13098 17  0 82  0  0
130  0 147560 98693232  26836 875030656    0    0     0    21 66866 13497 15  0 85  0  0
 3  0 147560 99218112  26836 875030656    0    0     0    55 81664 12842 21  1 78  0  0
 3  0 147560 99235120  26836 875030656    0    0     0   117 73268 15556 16  1 83  0  0
 3  0 147560 99234992  26836 875030656    0    0     0     0 67925 13602 16  0 84  0  0
130  0 147560 99231312  26836 875030656    0    0     0     0 66070 9944 22  1 78  0  0
